date,crop_yield
2020-01-01,50.993428306022466
2020-01-02,49.91560495921598
2020-01-03,51.67959319242884
2020-01-04,53.622256385048594
2020-01-05,50.29971751857653
2020-01-06,50.49137407347611
2020-01-07,54.309442605489124
2020-01-08,52.87694990729935
2020-01-09,50.59383894926274
2020-01-10,52.808208293814744
2020-01-11,50.98609605618985
2020-01-12,51.170807591291926
2020-01-13,52.774969541818265
2020-01-14,48.652654640726055
2020-01-15,49.216891995033436
2020-01-16,51.72895789267992
2020-01-17,51.0139193346722
2020-01-18,53.85331899399664
2020-01-19,51.593164095520464
2020-01-20,50.76808921425307
2020-01-21,56.70652653378424
2020-01-22,53.50520862079065
2020-01-23,54.27230183828258
2020-01-24,51.46713769000916
2020-01-25,53.406114443009365
2020-01-26,54.8937812055429
2020-01-27,52.54576877065971
2020-01-28,55.773689454095454
2020-01-29,53.9942253291909
2020-01-30,54.78395090157133
2020-01-31,54.33434227714098
2020-02-01,59.41126580753891
2020-02-02,55.84716162417964
2020-02-03,53.924629857471196
2020-02-04,57.84944295588257
2020-02-05,53.92533026296913
2020-02-06,56.945729924547514
2020-02-07,52.76792662184808
2020-02-08,54.1883966033544
2020-02-09,57.39418995614692
2020-02-10,58.63125616889259
2020-02-11,57.649032172729754
2020-02-12,57.225049617646306
2020-02-13,57.00222879715087
2020-02-14,54.79348369150182
2020-02-15,56.454894853727055
2020-02-16,57.115288680898175
2020-02-17,60.29068483539695
2020-02-18,59.00140680877678
2020-02-19,54.92364056624008
2020-02-20,59.23122602357522
2020-02-21,57.94398370800675
2020-02-22,57.48911451009584
2020-02-23,60.19280914524951
2020-02-24,61.15560992673866
2020-02-25,61.07795082830601
2020-02-26,57.65633048657886
2020-02-27,58.833281511955654
2020-02-28,60.22871091915191
2020-02-29,61.62926116952
2020-03-01,58.829291107067455
2020-03-02,59.52324559396833
2020-03-03,57.78624710343038
2020-03-04,57.7082618512723
2020-03-05,61.82486510938388
2020-03-06,63.00878875366408
2020-03-07,60.24611788486569
2020-03-08,62.48834567763739
2020-03-09,61.292984927261614
2020-03-10,59.36517732658172
2020-03-11,61.46116349924608
2020-03-12,63.894633712350895
2020-03-13,60.82431179605152
2020-03-14,64.09985247457955
2020-03-15,55.80285805773956
2020-03-16,62.75510284747345
2020-03-17,61.35149351302489
2020-03-18,60.642624517583336
2020-03-19,61.48452610479521
2020-03-20,57.383345585854784
2020-03-21,60.973720927041064
2020-03-22,62.17896331054441
2020-03-23,64.4692825134229
2020-03-24,60.52278451432623
2020-03-25,59.985234888392945
2020-03-26,60.638664981770454
2020-03-27,63.50999419687594
2020-03-28,62.37075195040092
2020-03-29,60.68483380402156
2020-03-30,62.799034978623546
2020-03-31,61.991840118494984
2020-04-01,63.75719737842768
2020-04-02,60.43506039879267
2020-04-03,61.20013851367804
2020-04-04,61.084580849586025
2020-04-05,58.95214171238968
2020-04-06,62.47882957167086
2020-04-07,62.41316365536675
2020-04-08,61.90279540595907
2020-04-09,61.42196637318425
2020-04-10,59.05603441822258
2020-04-11,61.03819085410759
2020-04-12,61.18383648674628
2020-04-13,60.25158237801166
2020-04-14,61.51753408299166
2020-04-15,62.629283679919695
2020-04-16,65.57174963266169
2020-04-17,62.12386111130517
2020-04-18,62.26227895131849
2020-04-19,61.56791813477213
2020-04-20,57.84607336952363
2020-04-21,61.594583683005766
2020-04-22,61.72927388283637
2020-04-23,66.49372353535037
2020-04-24,61.13818529236869
2020-04-25,62.07893094526116
2020-04-26,61.356622761531675
2020-04-27,59.03620194800778
2020-04-28,63.604038536379136
2020-04-29,62.76443929166848
2020-04-30,62.78218593382145
2020-05-01,59.31828827750374
2020-05-02,63.877009902371306
2020-05-03,58.199519571913704
2020-05-04,62.10620476113117
2020-05-05,65.24016604580633
2020-05-06,58.80246933697772
2020-05-07,59.57278505525361
2020-05-08,60.82410219338473
2020-05-09,59.53487732959376
2020-05-10,57.35517168865488
2020-05-11,60.50596636328246
2020-05-12,58.15427870045322
2020-05-13,61.13385313659045
2020-05-14,58.25337164001835
2020-05-15,63.09544435089995
2020-05-16,58.33026255208714
2020-05-17,59.15171306866043
2020-05-18,61.31984670360911
2020-05-19,57.12600546190225
2020-05-20,59.935558511343594
2020-05-21,61.98584908065571
2020-05-22,56.045580663243186
2020-05-23,59.51689586302295
2020-05-24,59.55261158813013
2020-05-25,60.479886375803844
2020-05-26,56.323951101168575
2020-05-27,56.03680945287469
2020-05-28,59.599775755335564
2020-05-29,59.02637373187288
2020-05-30,58.808286182311086
2020-05-31,58.873520329152484
2020-06-01,56.69236869130078
2020-06-02,58.38723446540891
2020-06-03,58.377740023336
2020-06-04,56.23036409903185
2020-06-05,61.25673686579446
2020-06-06,58.33766924151912
2020-06-07,54.87095259375091
2020-06-08,58.42900998383232
2020-06-09,55.027716311585
2020-06-10,58.41130651478258
2020-06-11,59.01331428472214
2020-06-12,54.91272018554188
2020-06-13,58.337822667846915
2020-06-14,57.0926900466079
2020-06-15,57.766427071981134
2020-06-16,59.770240892587964
2020-06-17,55.33944557280361
2020-06-18,54.17558437359114
2020-06-19,53.75618029514691
2020-06-20,53.755108328004894
2020-06-21,55.08346243842741
2020-06-22,55.77037407901846
2020-06-23,55.49137356785879
2020-06-24,56.441848272597866
2020-06-25,54.66259385497277
2020-06-26,57.392435652486625
2020-06-27,53.804551125858715
2020-06-28,59.62247110683717
2020-06-29,55.28155702557532
2020-06-30,52.163869289438765
2020-07-01,51.584284972764664
