date,rainfall_mm
2020-01-01,40.58835746785249
2020-01-02,51.804407128476825
2020-01-03,27.060785733151384
2020-01-04,46.57612964707294
2020-01-05,61.34442788904247
2020-01-06,38.032568948876836
2020-01-07,49.44256075264613
2020-01-08,18.872278547320967
2020-01-09,35.130039256550745
2020-01-10,39.755234484862726
2020-01-11,58.577991528833685
2020-01-12,62.75020357962045
2020-01-13,57.60334650564182
2020-01-14,53.39795977685594
2020-01-15,54.14038441500679
2020-01-16,71.25481804025489
2020-01-17,64.39062400461002
2020-01-18,56.87011337064393
2020-01-19,81.95634141487045
2020-01-20,92.4804120826361
2020-01-21,45.21477923025948
2020-01-22,72.40469594021253
2020-01-23,111.57732583092269
2020-01-24,70.0896193654972
2020-01-25,68.27115911070308
2020-01-26,66.35173500608848
2020-01-27,75.18374646437837
2020-01-28,79.79266116786468
2020-01-29,50.4305077235763
2020-01-30,69.33209918029911
2020-01-31,36.30855403893795
2020-02-01,67.82708850476168
2020-02-02,58.03629538729092
2020-02-03,77.26787054856425
2020-02-04,47.93170461958941
2020-02-05,65.6833105947583
2020-02-06,88.45017469596121
2020-02-07,64.38407020676678
2020-02-08,46.525038143336765
2020-02-09,79.52486723456947
2020-02-10,67.41935713921754
2020-02-11,73.9769009003058
2020-02-12,66.35734093275224
2020-02-13,107.45369592051826
2020-02-14,54.99101965114397
2020-02-15,121.38076726047998
2020-02-16,73.5267169300007
2020-02-17,82.63746017510853
2020-02-18,71.75473465449215
2020-02-19,71.6093801100304
2020-02-20,69.55978378765302
2020-02-21,90.81546250601204
2020-02-22,61.08983863842518
2020-02-23,88.15945443391112
2020-02-24,50.367052501209926
2020-02-25,87.66449392742089
2020-02-26,96.71620122107944
2020-02-27,65.26903844502178
2020-02-28,94.9658752511603
2020-02-29,85.94346482046593
2020-03-01,109.52695516139971
2020-03-02,73.09015845451752
2020-03-03,128.51545676161066
2020-03-04,50.76096808285598
2020-03-05,82.01669684884006
2020-03-06,61.80668912674574
2020-03-07,115.36636516485191
2020-03-08,83.9796046201758
2020-03-09,85.62357534812614
2020-03-10,95.13023881444605
2020-03-11,88.6814113580077
2020-03-12,80.1078189716558
2020-03-13,70.41414673764997
2020-03-14,92.02996168680758
2020-03-15,95.4118975540184
2020-03-16,100.37584990091797
2020-03-17,118.84050026079201
2020-03-18,57.73602330785041
2020-03-19,89.50826024660624
2020-03-20,108.5700011975477
2020-03-21,88.9844224442814
2020-03-22,55.92636586468464
2020-03-23,71.76838407301065
