date,temperature_c
2022-01-01,18.917136709851476
2022-01-02,18.728367274882988
2022-01-03,18.562510253680404
2022-01-04,18.968568784761622
2022-01-05,20.735830650944692
2022-01-06,20.684102183070536
2022-01-07,20.425057968506408
2022-01-08,20.55355772401996
2022-01-09,22.802941633931606
2022-01-10,25.24984720431283
2022-01-11,22.747565800575266
2022-01-12,22.890739047567124
2022-01-13,21.446794112602547
2022-01-14,23.14268307148107
2022-01-15,26.24076417130799
2022-01-16,26.20522163376075
2022-01-17,26.335319851560254
2022-01-18,26.53897415164882
2022-01-19,25.807283480974004
2022-01-20,26.001459252351456
2022-01-21,25.952344147281245
2022-01-22,24.891371272540546
2022-01-23,26.153266940591116
2022-01-24,26.67615046106584
2022-01-25,27.7686570447217
2022-01-26,26.95841701327507
2022-01-27,31.2219566502013
2022-01-28,24.843815731990333
2022-01-29,29.022205463084163
2022-01-30,27.67852018845872
2022-01-31,28.010925816652744
2022-02-01,26.62491259315995
2022-02-02,30.529920644980624
2022-02-03,30.035760641716806
2022-02-04,30.63380449112168
2022-02-05,29.539017154004693
2022-02-06,28.782214472526565
2022-02-07,29.527777207322536
2022-02-08,30.754084351838173
2022-02-09,26.099548880773533
2022-02-10,32.07735024850358
2022-02-11,35.40182904489085
2022-02-12,31.725189367541127
2022-02-13,30.414801034078632
2022-02-14,30.863320998996464
2022-02-15,32.806959607643044
2022-02-16,31.078272007596386
2022-02-17,33.532011117117044
2022-02-18,31.64297391019929
2022-02-19,35.612948248697
2022-02-20,35.747779399222814
2022-02-21,31.900883067377183
2022-02-22,32.58239009258403
2022-02-23,32.87944712759498
2022-02-24,33.08248367109267
2022-02-25,31.378227794989066
2022-02-26,31.267626930987504
2022-02-27,36.10707453858303
2022-02-28,35.948850112925506
2022-03-01,36.07229780126746
2022-03-02,33.94270264025639
2022-03-03,38.01586886092334
2022-03-04,34.33343762381451
2022-03-05,36.246764996949935
2022-03-06,31.882476167823263
2022-03-07,34.33499238178795
2022-03-08,34.61356508089191
2022-03-09,34.92094474673678
2022-03-10,32.52357137975815
2022-03-11,36.70088710933647
2022-03-12,37.46477905495063
2022-03-13,34.0301220908826
2022-03-14,33.32926277876448
2022-03-15,34.18796449463946
2022-03-16,36.81451973715894
2022-03-17,34.72374004826781
2022-03-18,35.73796856555008
2022-03-19,33.94403733836721
2022-03-20,40.13007963858924
2022-03-21,36.39412237891042
2022-03-22,38.619027712527405
2022-03-23,37.373446919759054
2022-03-24,36.36648152597966
2022-03-25,36.321662776531745
2022-03-26,35.112845787993415
