date,soil_moisture_percent
2023-01-01,57.604381456323715
2023-01-02,61.18110326749976
2023-01-03,62.410188850686964
2023-01-04,40.66485709519763
2023-01-05,40.97666988479132
2023-01-06,43.13541696307887
2023-01-07,43.00650176302024
2023-01-08,47.59671941304477
2023-01-09,65.07315977607855
2023-01-10,67.91602262075136
2023-01-11,66.97032733252138
2023-01-12,41.69154687491815
2023-01-13,44.47834036864163
2023-01-14,46.513353120996996
2023-01-15,49.7655159119663
2023-01-16,53.444037845801326
2023-01-17,66.70630333336155
2023-01-18,68.8202412812783
2023-01-19,71.54737058475382
2023-01-20,49.46460732585326
2023-01-21,55.05797732138078
2023-01-22,46.56692273965362
2023-01-23,53.12579603312117
2023-01-24,53.57454195061663
2023-01-25,75.50075577112038
2023-01-26,72.70196212483849
2023-01-27,75.65783143173041
2023-01-28,52.699462513493636
2023-01-29,51.50233431629776
2023-01-30,51.52040616999514
2023-01-31,50.489059942673045
2023-02-01,53.93605194101858
2023-02-02,76.6369333521377
2023-02-03,75.51575885789622
2023-02-04,77.16695769494926
2023-02-05,60.705689740892545
2023-02-06,55.871548558636945
2023-02-07,64.86269010295882
2023-02-08,60.5200351004255
2023-02-09,58.07062528550032
2023-02-10,78.40416274402861
2023-02-11,76.43449696071889
2023-02-12,79.77188765260705
2023-02-13,53.74852016527275
2023-02-14,64.37888154251569
2023-02-15,52.53391741149761
2023-02-16,61.47495158855679
2023-02-17,58.27735414490726
2023-02-18,79.95897473314864
2023-02-19,80.0
2023-02-20,80.0
2023-02-21,59.772692690107114
2023-02-22,66.15165416650564
2023-02-23,67.20957519050535
2023-02-24,57.025548044511005
2023-02-25,62.50011346993653
2023-02-26,80.0
2023-02-27,80.0
2023-02-28,80.0
2023-03-01,65.44091300162258
2023-03-02,65.57962675957104
2023-03-03,66.2321654800468
2023-03-04,67.30446664892166
2023-03-05,63.65511074421818
2023-03-06,80.0
2023-03-07,80.0
2023-03-08,80.0
2023-03-09,68.4715163331934
2023-03-10,65.4730774990524
2023-03-11,69.72314813672581
2023-03-12,68.39454389115288
2023-03-13,63.4535815832351
2023-03-14,80.0
2023-03-15,80.0
2023-03-16,80.0
2023-03-17,67.40445312481474
2023-03-18,70.81261393972099
2023-03-19,67.22154090686503
2023-03-20,69.89818731094644
2023-03-21,69.51893794872245
2023-03-22,80.0
2023-03-23,80.0
2023-03-24,80.0
2023-03-25,70.14739377344385
2023-03-26,71.41314986674114
2023-03-27,73.64402683854189
2023-03-28,71.18238104694962
2023-03-29,64.1576825925887
2023-03-30,80.0
2023-03-31,80.0
2023-04-01,80.0
2023-04-02,71.19753041492822
2023-04-03,68.2051848672245
2023-04-04,71.6859242089443
2023-04-05,70.23876417645232
2023-04-06,64.78364288480235
2023-04-07,80.0
2023-04-08,80.0
2023-04-09,80.0
2023-04-10,69.36012956737221
2023-04-11,73.97820815847662
2023-04-12,70.85313894863235
2023-04-13,72.41016666728726
2023-04-14,67.91295227791622
2023-04-15,80.0
2023-04-16,80.0
2023-04-17,80.0
2023-04-18,64.4505218311313
2023-04-19,65.3326030870596
2023-04-20,65.93801710167949
