date,random_walk
2023-01-01,-0.7625414120633338
2023-01-02,-3.847507356619744
2023-01-03,-1.1086637809899995
2023-01-04,1.3751986914401464
2023-01-05,0.8696929515166139
2023-01-06,1.6708438667417023
2023-01-07,1.4699040717766847
2023-01-08,2.6111018339946206
2023-01-09,0.6612027717312563
2023-01-10,-1.5738354684224358
2023-01-11,0.147891997098611
2023-01-12,2.123121684117806
2023-01-13,1.2415376328745944
2023-01-14,-0.15670451904745453
2023-01-15,2.238428385241942
2023-01-16,0.9079033466115842
2023-01-17,1.1187258585831166
2023-01-18,1.0758959018378098
2023-01-19,-1.757915988866029
2023-01-20,-1.273687454708692
2023-01-21,-0.9848735479003721
2023-01-22,-0.16449099169715975
2023-01-23,0.2519707476094124
2023-01-24,4.623345566436157
2023-01-25,7.046702029082618
2023-01-26,7.224320029992221
2023-01-27,7.584798197691299
2023-01-28,11.212036613192879
2023-01-29,13.038212185203374
2023-01-30,10.68020646421448
2023-01-31,12.678102909828674
2023-02-01,15.26370507394856
2023-02-02,18.599139225500128
2023-02-03,17.896155862285152
2023-02-04,17.047254871347217
2023-02-05,15.263624828452556
2023-02-06,15.979879757124824
2023-02-07,17.545614922036222
2023-02-08,16.618956548681215
2023-02-09,16.435325953342893
2023-02-10,12.427890362104765
2023-02-11,15.546788462910065
2023-02-12,12.51683571990987
2023-02-13,13.36639522429548
2023-02-14,13.942904891040175
2023-02-15,14.13452082810337
2023-02-16,14.37211458478275
2023-02-17,12.44855223333708
2023-02-18,11.89242182494809
2023-02-19,13.930323129452432
2023-02-20,16.560634130325703
2023-02-21,15.818832253175824
2023-02-22,12.797993192221998
2023-02-23,11.340645489627905
2023-02-24,15.146039679333668
2023-02-25,13.807750699359216
2023-02-26,13.713343358839658
2023-02-27,16.64516808287931
2023-02-28,15.69137607220509
2023-03-01,15.460305292909737
2023-03-02,17.149301874422356
2023-03-03,20.672915609481368
2023-03-04,19.48181188009141
2023-03-05,22.366002368333778
2023-03-06,21.902944948605132
2023-03-07,20.231087537675258
2023-03-08,20.830200398290373
2023-03-09,18.615064282753178
2023-03-10,19.659087145678942
2023-03-11,26.058383167948023
2023-03-12,28.36958479845541
2023-03-13,28.259785522875166
2023-03-14,30.46418933822403
2023-03-15,28.701145880989504
2023-03-16,27.273796608985165
2023-03-17,27.219467058562635
2023-03-18,27.495029458262312
2023-03-19,25.008423819842776
2023-03-20,24.495468835621914
2023-03-21,24.3062914016498
2023-03-22,27.49023609732707
2023-03-23,25.00354506465741
2023-03-24,22.331447983486264
2023-03-25,22.782865868695396
2023-03-26,25.184619074150184
2023-03-27,26.387805102231212
2023-03-28,27.09315888907716
2023-03-29,26.6159428290741
2023-03-30,28.068152687663762
2023-03-31,29.821931127297177
2023-04-01,29.407309394927825
2023-04-02,27.610060374554962
2023-04-03,25.825816183849348
2023-04-04,27.683284739944675
2023-04-05,24.694738097749564
2023-04-06,28.14885644834379
2023-04-07,27.336605061354582
2023-04-08,28.05566892196306
2023-04-09,29.559089037917243
2023-04-10,28.29171760785907
2023-04-11,27.47192192254858
2023-04-12,27.835861926439733
2023-04-13,26.228420288008515
2023-04-14,24.193136761343364
2023-04-15,22.337572271983873
2023-04-16,24.855864844164294
2023-04-17,25.751714537594964
2023-04-18,24.265380419842266
2023-04-19,26.11089933231046
2023-04-20,24.735388838644695
2023-04-21,20.934564435329882
2023-04-22,22.42818241765059
2023-04-23,25.8206443212704
2023-04-24,27.036723664308433
2023-04-25,23.362049761438264
2023-04-26,23.414938960996757
2023-04-27,22.965782961490834
2023-04-28,23.82220728677862
2023-04-29,22.22766873304103
2023-04-30,21.66071423285395
2023-05-01,18.920548266808527
2023-05-02,19.4640898316913
2023-05-03,16.798297993146225
2023-05-04,17.773146964592094
2023-05-05,16.372052586585994
2023-05-06,10.189223503992903
2023-05-07,11.876739790191172
2023-05-08,12.96481982861597
2023-05-09,15.770703924157369
2023-05-10,11.690466909817559
2023-05-11,10.48136783014479
2023-05-12,10.844553751268526
2023-05-13,12.087965537341159
2023-05-14,9.262197661862293
2023-05-15,10.225117577316723
2023-05-16,9.18156376009795
2023-05-17,5.571406433124473
2023-05-18,4.170044459021161
2023-05-19,5.2987987322488745
2023-05-20,1.772202587516274
2023-05-21,3.1463062667337915
2023-05-22,3.8130622715373175
2023-05-23,3.405344117247175
2023-05-24,0.23494909727867608
2023-05-25,-2.774948549589622
2023-05-26,-3.4719118398543323
2023-05-27,-5.621791883624301
2023-05-28,-6.189309094605575
2023-05-29,-4.276944779908977
2023-05-30,-4.722987214740831
2023-05-31,-5.22387709020316
2023-06-01,-5.723182641532784
2023-06-02,-3.596378779602704
2023-06-03,-0.9096390046313623
2023-06-04,0.034228419715658376
2023-06-05,0.4074114545124434
2023-06-06,0.9665366842243674
2023-06-07,3.9224404887305386
2023-06-08,4.974946008904979
2023-06-09,8.119823828418069
2023-06-10,7.381654124443916
2023-06-11,4.8105160850410265
2023-06-12,3.5723971171095883
2023-06-13,2.5468032556055267
2023-06-14,5.855859111078116
