date,crop_yield_tons
2019-01-01,48.830958073101336
2019-02-01,57.8551273538572
2019-03-01,63.98758634226648
2019-04-01,57.36126223038302
2019-05-01,61.34309299318908
2019-06-01,64.51288901592193
2019-07-01,55.902089682692484
2019-08-01,55.5735053292472
2019-09-01,49.12647899127225
2019-10-01,48.69887819539696
2019-11-01,48.869705352903175
2019-12-01,54.7041056866001
2020-01-01,56.604740342598774
2020-02-01,59.502483109520455
2020-03-01,68.95068894385201
2020-04-01,67.18355831542746
2020-05-01,54.65434534969198
2020-06-01,56.34014184889901
2020-07-01,61.27939102382098
2020-08-01,48.946600776490534
2020-09-01,55.00490770842774
2020-10-01,47.68548564946248
2020-11-01,50.869804058084796
2020-12-01,58.79661885189481
2021-01-01,61.729378474976485
2021-02-01,69.27796914423547
2021-03-01,77.15304932819842
2021-04-01,77.31193670786004
2021-05-01,75.68292664564682
2021-06-01,78.35020965659812
2021-07-01,72.63006242762532
2021-08-01,64.1289996421533
2021-09-01,69.34214948897875
2021-10-01,63.96263068208327
2021-11-01,61.93076646311491
2021-12-01,58.73164247175477
2022-01-01,63.867270859806
2022-02-01,76.30630950568721
2022-03-01,78.64719898618685
2022-04-01,74.22031830026698
2022-05-01,67.28734368342684
2022-06-01,66.40944510760286
2022-07-01,61.128694943851265
2022-08-01,57.690037088813376
2022-09-01,66.82207685761301
2022-10-01,67.14421981931068
2022-11-01,60.20925530902775
2022-12-01,68.17969984679459
2023-01-01,70.1456115202046
2023-02-01,79.74838108601233
2023-03-01,89.3461148803828
2023-04-01,90.27169105834179
2023-05-01,89.68431854568956
2023-06-01,84.74708991965674
2023-07-01,85.7859013479891
2023-08-01,80.26963537119532
2023-09-01,76.61367053259386
2023-10-01,73.68930589133338
2023-11-01,75.5269155882685
2023-12-01,77.65884995912059
