date,crop_price_per_unit
2004-01-01,250.66678001395687
2004-02-01,211.4938106713913
2004-03-01,235.50370935023705
2004-04-01,252.1142518571118
2004-05-01,254.91549076829344
2004-06-01,255.46516922267386
2004-07-01,228.55176889658736
2004-08-01,202.84384662230522
2004-09-01,256.39701297268374
2004-10-01,232.93562664164
2004-11-01,218.9448145341305
2004-12-01,248.81450322710515
2005-01-01,292.6590105190751
2005-02-01,255.3118106931774
2005-03-01,285.49985768952575
2005-04-01,255.89668180753375
2005-05-01,274.9151998252787
2005-06-01,275.4995747368529
2005-07-01,222.06087394022722
2005-08-01,221.19404406826655
2005-09-01,225.01778387706517
2005-10-01,211.4181742629063
2005-11-01,174.80755652301568
2005-12-01,210.50180710904735
2006-01-01,223.17437674374753
2006-02-01,223.13340072271808
2006-03-01,247.82659604474097
2006-04-01,212.57688200895169
2006-05-01,223.23045136936344
2006-06-01,175.75792280849925
2006-07-01,147.63214407700514
2006-08-01,176.45391260974375
2006-09-01,147.1292171058415
2006-10-01,131.03767195211373
2006-11-01,121.41982629010623
2006-12-01,169.4698045665763
2007-01-01,137.8397125473434
2007-02-01,203.7853062950832
2007-03-01,205.704418207732
2007-04-01,174.15019561413868
2007-05-01,205.19872022188403
2007-06-01,248.90683049276532
2007-07-01,209.4330266299422
2007-08-01,159.50138496581081
2007-09-01,185.35335153124103
2007-10-01,145.04756579100797
2007-11-01,156.65200210921824
2007-12-01,200.6275769896431
2008-01-01,235.03304537158147
2008-02-01,262.2529159894309
2008-03-01,280.42538885972664
2008-04-01,284.5291738689585
2008-05-01,244.70093957161117
2008-06-01,270.71943874749036
2008-07-01,281.7289768919518
2008-08-01,261.0334855467102
2008-09-01,248.96262871683533
2008-10-01,251.2784939637706
2008-11-01,257.5659267964646
2008-12-01,224.77429740915363
2009-01-01,303.09782285270774
2009-02-01,292.8615849189547
2009-03-01,319.42878257769775
2009-04-01,261.58106652148
2009-05-01,334.5018703855676
2009-06-01,264.03943413910423
2009-07-01,319.18215969993787
2009-08-01,291.3228791950151
2009-09-01,206.52091749801758
2009-10-01,239.97490534343837
2009-11-01,201.6159529835897
2009-12-01,214.2381888935122
2010-01-01,223.66334798045662
2010-02-01,253.93230385658515
2010-03-01,256.53254566699513
2010-04-01,224.3340119482765
2010-05-01,247.77979018159547
2010-06-01,218.97974601969517
2010-07-01,167.233603307448
2010-08-01,176.15168771005807
2010-09-01,203.92650476711185
2010-10-01,156.30039795037698
2010-11-01,130.0122103514952
2010-12-01,193.21709158627968
2011-01-01,173.44979630580275
2011-02-01,212.2163355395585
2011-03-01,217.24474089091612
2011-04-01,262.5394280171732
2011-05-01,223.25382543502752
2011-06-01,196.94054747864277
2011-07-01,200.26770885943608
2011-08-01,175.48640556857134
2011-09-01,190.83394365317872
2011-10-01,232.7616430384877
2011-11-01,233.04764641979597
2011-12-01,266.7975004528792
2012-01-01,257.5850019179344
2012-02-01,272.8883137638643
2012-03-01,267.9558532022377
2012-04-01,304.0275273980001
2012-05-01,298.3735364939462
2012-06-01,311.5106187432792
2012-07-01,263.91023948346947
2012-08-01,277.22131610076343
2012-09-01,237.85056559540018
2012-10-01,275.44622847666807
2012-11-01,288.8305668311043
2012-12-01,255.64204123691368
2013-01-01,277.2049549262798
2013-02-01,293.15264265573495
2013-03-01,325.7245542551202
2013-04-01,303.7442843689555
2013-05-01,352.85183674580975
2013-06-01,319.8907266447226
2013-07-01,304.33613065401437
2013-08-01,241.15711373816913
2013-09-01,282.8827995970313
2013-10-01,260.62636042022575
2013-11-01,232.31327734400756
2013-12-01,220.19095111690658
2014-01-01,258.47745553862165
2014-02-01,259.645062141772
2014-03-01,265.54127314726793
2014-04-01,258.25718846018094
2014-05-01,277.40948026041497
2014-06-01,195.0504281589774
2014-07-01,256.24321674731436
2014-08-01,228.7946627597605
2014-09-01,198.93167146315463
2014-10-01,185.42431196538578
2014-11-01,212.38395968308504
2014-12-01,200.08257380943553
2015-01-01,210.43141030953063
2015-02-01,254.70211828843125
2015-03-01,286.55238530007824
2015-04-01,231.88588690622288
2015-05-01,259.17547819384697
2015-06-01,222.10449542788723
2015-07-01,243.6774545858899
2015-08-01,208.49829898205402
2015-09-01,243.25020302470207
2015-10-01,219.36344034252042
2015-11-01,233.0078590154367
2015-12-01,282.59599233810883
2016-01-01,257.3399416177525
2016-02-01,307.7231534931144
2016-03-01,299.2526455309849
2016-04-01,346.5601224951173
2016-05-01,360.7158710901396
2016-06-01,314.6799274929367
2016-07-01,266.4735310641024
2016-08-01,286.4049257715302
2016-09-01,341.97323455612394
2016-10-01,280.8516927617704
2016-11-01,334.73595220888143
2016-12-01,299.9465232661056
2017-01-01,315.38001288212035
2017-02-01,358.6559946087064
2017-03-01,366.46387332936877
2017-04-01,372.73746025200245
2017-05-01,349.38024347402614
2017-06-01,355.8548689748533
2017-07-01,335.58534094540704
2017-08-01,319.9186327104021
2017-09-01,268.54805678048444
2017-10-01,292.30675567383287
2017-11-01,259.53346729224984
2017-12-01,271.88428501121257
2018-01-01,280.44745924753397
2018-02-01,273.01161217004204
2018-03-01,263.3294576512126
2018-04-01,320.84030923184
2018-05-01,272.9357712662705
2018-06-01,265.66713405806223
2018-07-01,237.03032533870015
2018-08-01,227.69924225139263
2018-09-01,208.59990888939777
2018-10-01,237.88770076328407
2018-11-01,202.91286360007808
2018-12-01,259.2188398865296
2019-01-01,262.78542798394216
2019-02-01,246.43881710141966
2019-03-01,275.08070349500326
