control_damage_percent,organic_treatment_damage,chemical_treatment_damage
19.862710604537117,46.76652327603723,15.77063433379338
51.855447230763964,36.22895695077239,20.6503799645344
30.81992618874644,17.19846081611221,34.69945118029185
5.35908585426478,26.02080147708767,46.04561952690337
36.64323422069798,52.15995850297953,29.377737865446303
3.7352334702982444,28.61500424604277,19.209452922137043
26.497132816030124,55.066260837466096,16.454401195090547
38.652699426075436,32.726668544429835,19.58318381544025
24.991640357056383,52.67268642748936,16.83404413146974
27.176966240845736,44.13673735984416,23.28525916864025
47.36439958040323,30.64290147968181,19.47166264519926
34.90601857032245,26.28722410909296,22.240024229827313
19.86085874727769,22.96030286126355,19.433539700643422
39.831899919326965,21.113122454731784,10.784940112102312
34.48057290426266,27.722518472406076,31.22587969175194
32.731480205378986,22.178586837034764,29.54951747481751
38.4081845263309,26.85599801615352,21.99403402802359
14.592877549081756,44.31869244257487,30.732651461778026
30.20257766653131,42.313792474052065,13.931246707944597
18.97225721822541,64.5592233795955,40.649756751540636
44.019514397289875,48.49947498238399,34.518264189267
34.76060966604687,26.3438275177912,23.822823446641888
39.996250131801034,26.74078461212214,18.43379078271703
43.12373729164661,18.879743760559766,34.6303536547832
27.83053070778432,50.75200372715534,13.682809745963398
33.501525186742796,38.61795821482497,26.749518371404402
19.600714516252125,26.879837189079897,28.96790994853789
23.288141158506896,35.93477956152581,14.81001527241638
33.13749631710394,19.68598012434223,37.136262221714134
24.327990065264974,49.58749730571511,10.56267112746008
37.97110833879761,50.95396367785301,27.040846163223968
24.40399334675197,65.50169808007843,18.24942083722728
6.511634044183894,20.802014464964195,31.112332731704356
49.23930193279756,17.670202546794687,20.441356118330802
14.929822643679438,18.702991595628575,26.167257094116962
36.798086627969035,36.970316255203564,28.134272103609646
18.654769201475045,31.64472827559478,24.402929704328226
18.392006821551462,39.160873550809825,20.859223922098032
25.594819670028546,49.17206126314673,31.83853690742648
9.175886130243734,35.207398623168835,29.791699914477576
45.372683062074294,33.07827787135554,23.20930265281557
14.915325334473096,32.063357478143864,26.031991316738207
