variety,yield_kg_per_hectare
Variety_A,50.498078850634656
Variety_A,43.50027853054364
Variety_A,43.138088953704
Variety_A,37.40868630404479
Variety_A,52.44451507485641
Variety_A,39.96956138319993
Variety_A,50.03179965213746
Variety_A,54.73982387296573
Variety_A,51.664440254592435
Variety_A,44.21494961586194
Variety_A,57.27049929079975
Variety_A,46.73622817518998
Variety_A,39.32671392796007
Variety_A,47.730179964373775
Variety_A,54.69437902387781
Variety_A,44.604685484718985
Variety_A,57.02545931976243
Variety_A,43.837391478258795
Variety_A,44.92629445051578
Variety_A,41.63136787317398
Variety_A,55.469676295264236
Variety_A,49.57405943928638
Variety_A,42.16190441804821
Variety_A,46.83031726175117
Variety_A,25.430792096807778
Variety_A,56.22377890773315
Variety_A,48.634026884013544
Variety_A,30.750094791920823
Variety_A,38.346548469407345
Variety_A,46.62724749953917
Variety_A,39.48663392716131
Variety_A,56.34679458948847
Variety_A,53.348583087929235
Variety_A,52.876287548142955
Variety_A,29.16522451828236
Variety_A,45.79633268634485
Variety_A,44.419068395127546
Variety_A,42.3675643671633
Variety_A,46.67859775069031
Variety_A,40.9900943433115
Variety_A,51.721765863601746
Variety_A,56.13241083470217
Variety_A,55.44306990738937
Variety_A,48.89670998630815
Variety_A,65.99391757066802
Variety_A,59.11980091600408
Variety_A,49.18753437061959
Variety_A,46.14182231838787
Variety_A,60.704217302255365
Variety_A,58.06064546210187
Variety_A,38.71658236940616
Variety_A,58.68657055382997
Variety_A,48.76501172220857
Variety_A,43.11270775525313
Variety_A,34.166353126074696
Variety_A,47.848670442417585
Variety_A,49.9021793182406
Variety_A,62.69862123288174
Variety_A,57.65787046198949
Variety_A,45.33690622899172
Variety_A,53.114739153757895
Variety_A,56.60999538138259
Variety_A,50.68765910413772
Variety_A,45.30276672775037
Variety_A,45.742620350052434
Variety_A,53.08378456365562
Variety_A,53.30384452420038
Variety_A,47.65636307389164
Variety_A,29.046782359573285
Variety_A,39.675818181669676
Variety_A,54.957511372896896
Variety_A,32.953296021152994
Variety_A,59.47344813093772
Variety_A,58.28925808910803
Variety_A,50.328771055465644
Variety_A,54.78344827382886
Variety_A,54.23019742687109
Variety_A,49.0650149730703
Variety_A,39.00888705929144
Variety_A,57.73818380049349
Variety_B,66.25784009106908
Variety_B,45.331275806061264
Variety_B,43.7099599586424
Variety_B,53.905624761941276
Variety_B,49.9902032349084
Variety_B,56.159593921643676
Variety_B,64.66395231888309
Variety_B,37.03463649382003
Variety_B,67.65017561295323
Variety_B,51.74665246498464
Variety_B,59.094231829203956
Variety_B,59.94980670483572
Variety_B,60.88272923358237
Variety_B,55.495264832239975
Variety_B,57.36448481429397
Variety_B,57.31217640484323
Variety_B,49.95773759376442
Variety_B,40.93555846850242
Variety_B,45.24651337787844
Variety_B,54.16609616401573
Variety_B,48.70554674482892
Variety_B,48.72403142088372
Variety_B,69.39400836548957
Variety_B,61.87115837327899
Variety_B,52.98339227272021
Variety_B,60.376279565243536
Variety_B,51.63785115527279
Variety_B,55.88578747349197
Variety_B,58.533029187351325
Variety_B,51.65915225782497
Variety_B,49.517995619703235
Variety_B,64.79145454774803
Variety_B,59.912903737584855
Variety_B,36.96311297365826
Variety_B,49.65491255974712
Variety_B,48.74982000244485
Variety_B,50.03089528950082
Variety_B,61.89921831007116
Variety_B,55.153647744029534
Variety_B,43.882962633155636
Variety_B,51.93428130433107
Variety_B,59.333901180929516
Variety_B,53.24283987572996
Variety_B,49.84259239069207
Variety_B,57.649754229908226
Variety_B,67.94553991551261
Variety_B,58.69139866366815
Variety_B,65.40753210425359
Variety_B,50.37908625708077
Variety_B,54.93310311100751
Variety_B,54.77158412371454
Variety_B,55.949432672541526
Variety_B,58.52415685104733
Variety_B,47.64824703156177
Variety_B,60.17866148410783
Variety_B,41.976912488358266
Variety_B,44.31394669994655
Variety_B,72.08500880938584
Variety_B,50.91903408416899
Variety_B,60.83615480788961
Variety_B,68.58632313941565
Variety_B,36.48435136977219
Variety_B,64.00996944124567
Variety_B,60.19154885007417
Variety_B,68.12317824746432
Variety_B,45.547814706682985
Variety_B,66.6100372556369
Variety_B,49.084684547178476
Variety_B,63.43822251421325
Variety_B,54.71183171396448
Variety_B,61.16615045148111
Variety_B,55.390953466441225
Variety_B,40.28478732650617
Variety_B,30.035647816449625
Variety_B,56.67932427186793
Variety_B,52.89011969894921
Variety_B,58.18576761136235
Variety_B,52.9827722732514
Variety_B,71.14461906174256
Variety_B,56.844297022626435
Variety_C,56.42441817933867
Variety_C,62.69890453077493
Variety_C,56.57060162494955
Variety_C,60.7434418729119
Variety_C,50.26015850211333
Variety_C,59.931318385123156
Variety_C,56.1771808317186
Variety_C,51.018106997050566
Variety_C,75.80588694458115
Variety_C,51.33011704047867
Variety_C,60.0557137875355
Variety_C,53.57753572040994
Variety_C,62.376315767039
Variety_C,49.80491892424866
Variety_C,66.7228545914844
Variety_C,76.28924949087073
Variety_C,53.28368610319464
Variety_C,69.73575090145056
Variety_C,56.94496524483448
Variety_C,72.04632896860869
Variety_C,77.50799188876793
Variety_C,58.13035990633233
Variety_C,47.83787135284278
Variety_C,67.58467509948872
Variety_C,61.79533766355293
Variety_C,64.01432934222113
Variety_C,57.281239665245074
Variety_C,52.92405745071441
Variety_C,69.28278544773579
Variety_C,62.55831995644826
Variety_C,48.4515437265302
Variety_C,65.49500178562315
Variety_C,63.889348783732004
Variety_C,57.397608605411484
Variety_C,72.95850587393858
Variety_C,55.05461470122189
Variety_C,58.64810801476126
Variety_C,66.14918470374559
Variety_C,60.61410360264577
