yield_traditional,yield_treated
55.960569836134795,60.75542135380464
48.340828385945784,61.81093030446674
57.77226245720831,50.5197280626366
68.2763582768963,60.55479066877104
47.19015950331997,61.2237972062855
47.19035651660983,50.14213440170995
68.9505537860887,78.52351962259232
59.20921674983491,63.21216213002966
44.366307368780575,44.895661530770866
56.51072052303157,65.22208969497213
44.43898768625046,47.278501627499466
44.411242957156915,66.65793064116697
52.90354725879241,70.74455136908145
27.040637064106427,48.972494498131184
29.300986009843605,68.59713742168753
43.252549649108325,62.54059019630148
37.84602655598692,67.04266175993939
53.77096799114329,78.86472280919342
39.10371109374547,55.30073072396843
33.0523555839765,49.70890219206761
67.58778522705865,48.21534127411925
47.29068439416157,49.02608686538018
50.81033845625509,57.151881196444855
32.90302176543852,61.75267172298308
43.467407305697805,61.043598792630206
51.33107107651839,67.09901573939626
36.188077070932366,58.14302081065698
54.508376220148065,73.98887484873049
42.79233572097434,55.088774834382484
46.49967500248068,87.9218608324858
42.77952065324724,64.88234082541507
72.22733821410725,48.57126687942089
49.83803330314479,46.220182521327764
37.3074688525292,63.307196567675035
59.870538945238266,55.54190936141564
35.34987620034774,65.85400543501301
52.50636314005706,63.205613870308994
26.483958513442694,57.1988819607744
34.06176741321883,48.68526910124754
52.36233483042948,41.33668052845549
58.86159895994493,53.08833552726277
52.05641937427965,67.42038673755819
48.612220611341115,60.355031185432246
46.386755652928535,44.296873434168134
32.25773611559087,59.904990184363
41.3618694992635,62.2384911770172
44.47233474848255,48.27756820178754
62.68546671462699,59.690976165400805
54.12341947482154,58.640295902906
28.843518135647194,45.427326723863146
53.88900763273754,61.93566096383112
45.3790126350042,64.16862979005057
41.8769359963285,69.91356367492804
57.34011546609042,69.59182257238393
62.371994269951415,42.845636952472
61.175361429394385,47.68392456093365
39.929389721328334,63.66538793929526
46.28945148978543,63.651645460034295
53.97516117684277,63.66552454936652
61.70654152546831,100.38004639720192
44.24990914585652,64.27979561762484
47.772092280034194,70.49122204198659
36.72398031192766,68.49401939842522
35.64552051103195,65.16530376436378
59.750309868730376,54.532038308956196
66.27488034284987,66.34866142542595
49.13587854103599,49.49892264008671
62.04239477470429,55.3949953258599
54.33963230057161,52.661000973879865
42.25856294473851,58.90061553324955
54.336747266100964,83.46124423340859
68.45643879759163,37.46008288149077
49.57008753068058,65.54886209411966
68.77572386976807,40.26012541691383
18.56305875092307,52.80874947631623
59.86283005250269,69.97845656664103
51.044564818858056,58.70708021005009
46.41191179440958,46.14480744277763
51.101129318426025,50.13165919814035
26.149173024789285,65.47557523828144
47.36393734594986,49.9659670511115
54.28535085814096,60.38104448540172
67.73472853689819,58.50129023894195
43.78075738071623,50.83239617633601
40.29807676528175,81.58338498257858
43.97891547698556,64.97310924549812
60.98482541242489,35.72343154676632
53.94501331591621,60.050997462463705
43.64287755479553,50.72034888754773
56.159209197360276,67.37676668275846
51.16493059217648,49.28227187724029
61.623739886394674,56.73789914386411
41.575362873471775,63.554860068785025
46.06805424082678,67.52330713587133
45.29470216241411,44.79673952238646
32.43782062241458,54.32048640574957
53.55344332477491,52.77560157722948
53.13266326615867,50.81337844168917
50.06136147970953,77.41999664309206
47.18495439949823,62.45479882057051
33.015551095395026,44.1302765023145
44.95225612681569,68.09648141760253
45.887425801678766,81.34371816713896
40.372672769340575,69.35711786606261
48.06457146000789,41.28693037450585
54.84861028177446,52.673425198471236
72.63423081452636,71.93602264105284
52.09493375398207,50.21563587819341
53.09060468867317,62.882013709608515
49.106649010805995,66.5209745877227
26.9747454164115,47.803764812641084
49.6818334946094,57.3452210833202
50.72276251929232,22.346059259240203
79.55890534982343,46.73173594532281
47.69166842262653,55.221750334675235
53.61856810800335,44.27438499838666
49.58345876353708,75.95652434324799
35.97586354856561,42.26844484243304
63.71387377418024,53.15951064633318
59.02319639224129,59.43814635014701
59.49238336451656,73.85400617972726
39.087350542463135,42.20551633702617
66.8335317312332,70.79480127370455
33.17778724649263,58.112563671215455
57.04228512560324,47.20340483847254
76.28546750971974,63.083138216895975
38.11356409843174,60.18965665130817
43.204427244766734,51.39761435125326
51.19581638105169,58.767822934890205
43.95829215060561,53.76155043452064
31.392038827206406,59.24869079776373
50.82275569767233,65.28343741973151
37.252355435286745,75.44618497759888
55.68310916762218,44.38402951290466
38.96690918919436,81.46336712121894
68.59921286021049,36.52703420525248
40.600960491965154,56.330363954608586
46.13526180553189,64.47148927133034
59.76220660843604,61.09091054508536
35.22962820279254,51.150305281973466
52.72951921524955,55.71065524606997
65.68571305138914,52.576989718752834
30.71020118526527,51.51698767361367
52.21560630238765,67.34562306723127
53.11859353098108,61.92717034561552
59.38187446132772,50.3779944521328
35.15659146946302,67.89559862976576
34.154520642988686,61.3802947296427
56.263298787402775,66.94148330722857
53.56381607879823,64.92591726115974
